epoch,train_loss,val_loss,shape_loss_train,color_loss_train,shape_loss_val,color_loss_val,train_shape_f1,val_shape_f1,train_color_f1,val_color_f1,overall_macro_f1,learning_rate,is_best
1,15.9824,6.8325,14.6378,1.3446,6.3373,0.4953,0.0462,0.1379,0.2764,0.4585,0.2982,0.001,True
2,11.4108,4.9616,10.7332,0.6776,4.5439,0.4176,0.0845,0.2032,0.3997,0.5241,0.3636,0.001,True
3,9.2326,4.4443,8.7112,0.5214,4.0896,0.3547,0.1204,0.2132,0.4512,0.5639,0.3886,0.001,True
4,8.5411,4.0637,8.1128,0.4283,3.7237,0.34,0.1411,0.2311,0.4822,0.548,0.3895,0.001,True
5,7.5456,3.3333,7.1646,0.3811,3.0275,0.3058,0.1407,0.2592,0.5089,0.5834,0.4213,0.001,True
6,6.2363,3.0325,5.8878,0.3485,2.7564,0.2761,0.1677,0.2745,0.5271,0.5983,0.4364,0.001,True
7,5.8241,2.6314,5.4981,0.326,2.353,0.2784,0.17,0.2697,0.5325,0.5782,0.4239,0.001,False
8,5.3877,2.9032,5.0841,0.3037,2.6393,0.2638,0.1818,0.2978,0.5413,0.5801,0.4389,0.001,True
9,5.2399,2.449,4.9609,0.2791,2.203,0.246,0.1973,0.317,0.5709,0.5938,0.4554,0.001,True
10,4.2834,2.1366,4.0182,0.2652,1.8791,0.2574,0.1907,0.28,0.5824,0.6003,0.4401,0.001,False
11,4.3112,2.0555,4.0437,0.2674,1.8081,0.2473,0.1921,0.2909,0.5831,0.6081,0.4495,0.001,False
12,3.8124,2.1339,3.568,0.2444,1.8873,0.2465,0.2094,0.3111,0.6025,0.655,0.483,0.001,True
13,3.4673,1.8863,3.2286,0.2387,1.636,0.2504,0.2399,0.3201,0.6035,0.6362,0.4782,0.001,False
14,3.427,2.0832,3.1868,0.2401,1.8429,0.2402,0.2394,0.284,0.613,0.6405,0.4623,0.001,False
15,3.347,1.8225,3.1212,0.2257,1.5816,0.2408,0.2302,0.2965,0.6183,0.6449,0.4707,0.001,False
16,3.488,1.9115,3.2626,0.2254,1.6699,0.2417,0.2467,0.3483,0.6252,0.6562,0.5023,0.001,True
17,3.123,1.8244,2.9033,0.2197,1.5963,0.2281,0.2656,0.3557,0.6296,0.6453,0.5005,0.001,False
18,2.9862,1.7684,2.7703,0.2159,1.5308,0.2376,0.2619,0.4252,0.6368,0.631,0.5281,0.001,True
19,2.8727,1.8755,2.6674,0.2053,1.6419,0.2336,0.2699,0.4647,0.6385,0.6587,0.5617,0.001,True
20,2.4196,1.7245,2.2166,0.203,1.4941,0.2304,0.27,0.4008,0.6478,0.6534,0.5271,0.001,False
21,2.5653,1.7196,2.3573,0.2079,1.4884,0.2312,0.3127,0.4017,0.6417,0.665,0.5334,0.001,False
22,2.3753,1.7935,2.1683,0.207,1.5624,0.2311,0.3072,0.4187,0.6394,0.6655,0.5421,0.001,False
23,2.0997,1.8042,1.9019,0.1978,1.5698,0.2344,0.3247,0.4497,0.6526,0.6389,0.5443,0.001,False
24,2.3602,1.7289,2.1706,0.1896,1.5007,0.2282,0.2749,0.3771,0.6599,0.6592,0.5182,0.001,False
25,1.9536,1.7757,1.7654,0.1882,1.5404,0.2353,0.3182,0.4444,0.6708,0.6439,0.5441,0.001,False
26,1.9384,1.7157,1.7586,0.1798,1.4867,0.229,0.3285,0.4484,0.6654,0.644,0.5462,0.0005,False
27,1.9105,1.7024,1.7326,0.1779,1.4841,0.2183,0.3196,0.4315,0.6835,0.6664,0.549,0.0005,False
28,1.7681,1.7646,1.594,0.1742,1.5397,0.2249,0.3539,0.4129,0.6826,0.6635,0.5382,0.0005,False
29,1.7883,1.6409,1.6138,0.1744,1.4146,0.2263,0.3396,0.4135,0.6877,0.635,0.5243,0.0005,False
30,1.7846,1.6452,1.6168,0.1678,1.4211,0.224,0.3266,0.4017,0.6967,0.6568,0.5292,0.0005,False
