epoch,train_loss,shape_loss,color_loss,shape_samples,color_samples,val_loss,val_shape_loss,val_color_loss,val_shape_f1,val_color_f1,val_combined_f1,val_shape_acc,val_color_acc,val_combined_acc,learning_rate,epoch_seconds,best_metric,is_best
1,0.9243652835411641,0.38661524018282345,0.5377500447768904,18640,37312,0.4821,0.185,0.2971,0.7208,0.5947,0.6578,0.9626,0.5274,0.745,0.001,302.22,0.6578,True
2,0.5615635920654644,0.19997345823570958,0.3615901329607334,18640,37312,0.4095,0.1323,0.2772,0.8558,0.6146,0.7352,0.9758,0.4966,0.7362,0.001,220.8,0.7352,True
3,0.4879032631578822,0.16107197975544946,0.3268312823097661,18640,37312,0.3971,0.1267,0.2705,0.8685,0.589,0.7288,0.9802,0.5171,0.7486,0.001,220.14,0.7352,False
4,0.44577677376683333,0.13900352046404857,0.3067732529002234,18640,37312,0.3751,0.1138,0.2613,0.8809,0.6312,0.7561,0.9846,0.5525,0.7685,0.001,231.5,0.7561,True
5,0.4257188941356862,0.12680093139668808,0.2989179624394733,18640,37312,0.3973,0.1314,0.2659,0.8227,0.6231,0.7229,0.9648,0.5411,0.7529,0.001,220.32,0.7561,False
6,0.4057173034236934,0.11634092268535602,0.28937638081980815,18640,37312,0.3546,0.0962,0.2583,0.9364,0.6441,0.7902,0.989,0.5731,0.781,0.001,217.84,0.7902,True
7,0.3965896305406073,0.11222275707544839,0.28436687361212576,18640,37312,0.3927,0.1351,0.2576,0.8574,0.6174,0.7374,0.9758,0.5502,0.763,0.001,218.66,0.7902,False
8,0.3847929099718457,0.10795665699285718,0.27683625292307723,18640,37312,0.3687,0.1134,0.2553,0.9364,0.6387,0.7875,0.989,0.5662,0.7776,0.001,218.88,0.7902,False
9,0.36998887273193837,0.09726329709245067,0.27272557540066655,18640,37312,0.389,0.1317,0.2573,0.8821,0.6449,0.7635,0.9846,0.5514,0.768,0.0005,219.2,0.7902,False
10,0.3532983713094816,0.09044085671377607,0.26285751445113487,18640,37312,0.3709,0.12,0.251,0.9062,0.6376,0.7719,0.9868,0.5559,0.7714,0.0005,220.56,0.7902,False
11,0.3476653554529514,0.08558194296063909,0.26208341257138684,18640,37312,0.3733,0.1166,0.2567,0.8916,0.6357,0.7637,0.978,0.5719,0.7749,0.0005,221.14,0.7902,False
12,0.3428149879694394,0.08329469268090423,0.2595202958604279,18640,37312,0.3618,0.1106,0.2512,0.8631,0.6458,0.7545,0.9802,0.5753,0.7778,0.00025,221.83,0.7902,False
13,0.33558064959879397,0.0805397954534605,0.25504085442009755,18640,37312,0.372,0.1245,0.2475,0.8442,0.644,0.7441,0.9736,0.5674,0.7705,0.00025,221.44,0.7902,False
14,0.3354074510507682,0.07880549498643617,0.25660195583749185,18640,37312,0.3564,0.1054,0.251,0.9125,0.6448,0.7787,0.9846,0.5913,0.788,0.00025,220.21,0.7902,False
15,0.3316329216926421,0.07781611712558409,0.25381680400355194,18640,37312,0.3625,0.1062,0.2563,0.9048,0.6647,0.7848,0.9846,0.6062,0.7954,0.000125,222.23,0.7902,False
16,0.3283663576606207,0.07787294127286681,0.25049341627193766,18640,37312,0.3425,0.0968,0.2457,0.9177,0.6648,0.7913,0.9846,0.597,0.7908,0.000125,223.35,0.7913,True
17,0.32697680835351733,0.07490377362093074,0.2520730342862946,18640,37312,0.3424,0.0966,0.2458,0.9234,0.6397,0.7815,0.9868,0.5708,0.7788,0.000125,220.27,0.7913,False
18,0.32353131416833625,0.07418080285114857,0.24935051106159314,18640,37312,0.3499,0.1066,0.2433,0.9124,0.6462,0.7793,0.9824,0.5799,0.7811,0.000125,221.52,0.7913,False
19,0.332440100853071,0.08026521277292847,0.25217488796592374,18640,37312,0.344,0.0964,0.2477,0.9234,0.6564,0.7899,0.9868,0.5845,0.7856,6.25e-05,223.9,0.7913,False
20,0.32296197106151187,0.07308270691975466,0.24987926381427672,18640,37312,0.3465,0.0972,0.2493,0.923,0.6556,0.7893,0.9868,0.589,0.7879,6.25e-05,220.86,0.7913,False
21,0.32538551979060854,0.07503030670361073,0.25035521331823096,18640,37312,0.3403,0.0918,0.2485,0.9234,0.6508,0.7871,0.9868,0.5879,0.7873,6.25e-05,221.94,0.7913,False
22,0.32801186266526144,0.07744630250127708,0.25056556020551846,18640,37312,0.3452,0.0996,0.2456,0.9234,0.6524,0.7879,0.9868,0.5913,0.7891,3.125e-05,221.01,0.7913,False
23,0.32595871197216303,0.07701420955963778,0.24894450252195166,18640,37312,0.347,0.0989,0.2481,0.9234,0.6569,0.7901,0.9868,0.5993,0.793,3.125e-05,221.9,0.7913,False
24,0.3227550667514114,0.07472997630337704,0.24802509016688037,18640,37312,0.3603,0.11,0.2503,0.9179,0.6446,0.7813,0.9846,0.5913,0.788,3.125e-05,222.96,0.7913,False
25,0.321835839727935,0.07171563027461744,0.2501202092520369,18640,37312,0.3438,0.0962,0.2476,0.9123,0.6494,0.7808,0.9846,0.5936,0.7891,1.5625e-05,220.55,0.7913,False
26,0.3213129802950455,0.07307246036102315,0.24824051955142928,18640,37312,0.3526,0.1081,0.2445,0.8929,0.6564,0.7747,0.9824,0.5936,0.788,1.5625e-05,220.23,0.7913,False
27,0.3212294504429832,0.07192670152159998,0.249302748392622,18640,37312,0.3409,0.0938,0.2471,0.9234,0.6558,0.7896,0.9868,0.5982,0.7925,1.5625e-05,221.21,0.7913,False
28,0.3202723369487972,0.07252885631124263,0.2477434802525653,18640,37312,0.3516,0.1036,0.248,0.9179,0.6598,0.7889,0.9846,0.5936,0.7891,7.8125e-06,222.69,0.7913,False
29,0.3255635861620486,0.07570373422448647,0.24985985268757233,18640,37312,0.3515,0.1088,0.2427,0.9179,0.652,0.7849,0.9846,0.5811,0.7828,7.8125e-06,223.18,0.7913,False
30,0.32281565132006157,0.07433919771933867,0.24847645380280234,18640,37312,0.3483,0.1046,0.2438,0.9179,0.6457,0.7818,0.9846,0.5742,0.7794,7.8125e-06,223.83,0.7913,False
