2026-08-06 03:14:42,810 - Epoch 01/15 | Loss: 2.2595/1.1112 | Shape F1: 0.5164 | Color F1: 0.4629 | Overall F1: 0.4896 | LR: 0.001000 | ★ BEST
2026-08-06 03:14:56,765 - Epoch 02/15 | Loss: 1.5266/0.9314 | Shape F1: 0.5617 | Color F1: 0.4848 | Overall F1: 0.5233 | LR: 0.001000 | ★ BEST
2026-08-06 03:15:11,401 - Epoch 03/15 | Loss: 1.1155/0.9300 | Shape F1: 0.4989 | Color F1: 0.5123 | Overall F1: 0.5056 | LR: 0.001000 | 
2026-08-06 03:15:25,827 - Epoch 04/15 | Loss: 0.9505/0.7061 | Shape F1: 0.6319 | Color F1: 0.5612 | Overall F1: 0.5965 | LR: 0.001000 | ★ BEST
2026-08-06 03:15:40,196 - Epoch 05/15 | Loss: 0.8279/0.8881 | Shape F1: 0.4939 | Color F1: 0.5411 | Overall F1: 0.5175 | LR: 0.001000 | 
2026-08-06 03:15:53,662 - Epoch 06/15 | Loss: 0.7486/0.7825 | Shape F1: 0.5117 | Color F1: 0.5695 | Overall F1: 0.5406 | LR: 0.001000 | 
2026-08-06 03:16:08,114 - Epoch 07/15 | Loss: 0.7460/0.6672 | Shape F1: 0.5190 | Color F1: 0.5591 | Overall F1: 0.5390 | LR: 0.001000 | 
2026-08-06 03:16:22,348 - Epoch 08/15 | Loss: 0.5991/0.5971 | Shape F1: 0.4942 | Color F1: 0.5904 | Overall F1: 0.5423 | LR: 0.001000 | 
2026-08-06 03:16:36,757 - Epoch 09/15 | Loss: 0.6597/0.5867 | Shape F1: 0.6211 | Color F1: 0.5786 | Overall F1: 0.5998 | LR: 0.001000 | ★ BEST
2026-08-06 03:16:51,277 - Epoch 10/15 | Loss: 0.6070/0.5779 | Shape F1: 0.5974 | Color F1: 0.6002 | Overall F1: 0.5988 | LR: 0.001000 | 
2026-08-06 03:17:04,461 - Epoch 11/15 | Loss: 0.5262/0.5594 | Shape F1: 0.6550 | Color F1: 0.5914 | Overall F1: 0.6232 | LR: 0.001000 | ★ BEST
2026-08-06 03:17:18,802 - Epoch 12/15 | Loss: 0.5187/0.5357 | Shape F1: 0.6855 | Color F1: 0.6109 | Overall F1: 0.6482 | LR: 0.001000 | ★ BEST
2026-08-06 03:17:33,229 - Epoch 13/15 | Loss: 0.4982/0.5266 | Shape F1: 0.6593 | Color F1: 0.6196 | Overall F1: 0.6395 | LR: 0.001000 | 
2026-08-06 03:17:46,011 - Epoch 14/15 | Loss: 0.5027/0.5673 | Shape F1: 0.5754 | Color F1: 0.5931 | Overall F1: 0.5843 | LR: 0.001000 | 
2026-08-06 03:17:58,971 - Epoch 15/15 | Loss: 0.4699/0.5376 | Shape F1: 0.7271 | Color F1: 0.5858 | Overall F1: 0.6565 | LR: 0.001000 | ★ BEST
2026-08-06 03:29:12,675 - Epoch 01/15 | Loss: 2.2595/1.1112 | Shape F1: 0.5164 | Color F1: 0.4629 | Overall F1: 0.4896 | LR: 0.001000 | ★ BEST
2026-08-06 03:29:26,480 - Epoch 02/15 | Loss: 1.5266/0.9314 | Shape F1: 0.5617 | Color F1: 0.4848 | Overall F1: 0.5233 | LR: 0.001000 | ★ BEST
2026-08-06 03:29:40,014 - Epoch 03/15 | Loss: 1.1155/0.9300 | Shape F1: 0.4989 | Color F1: 0.5123 | Overall F1: 0.5056 | LR: 0.001000 | 
2026-08-06 03:29:54,779 - Epoch 04/15 | Loss: 0.9505/0.7061 | Shape F1: 0.6319 | Color F1: 0.5612 | Overall F1: 0.5965 | LR: 0.001000 | ★ BEST
2026-08-06 03:30:09,474 - Epoch 05/15 | Loss: 0.8279/0.8881 | Shape F1: 0.4939 | Color F1: 0.5411 | Overall F1: 0.5175 | LR: 0.001000 | 
2026-08-06 03:30:24,027 - Epoch 06/15 | Loss: 0.7486/0.7825 | Shape F1: 0.5117 | Color F1: 0.5695 | Overall F1: 0.5406 | LR: 0.001000 | 
2026-08-06 03:30:37,960 - Epoch 07/15 | Loss: 0.7460/0.6672 | Shape F1: 0.5190 | Color F1: 0.5591 | Overall F1: 0.5390 | LR: 0.001000 | 
2026-08-06 03:30:52,770 - Epoch 08/15 | Loss: 0.5991/0.5971 | Shape F1: 0.4942 | Color F1: 0.5904 | Overall F1: 0.5423 | LR: 0.001000 | 
2026-08-06 03:31:07,979 - Epoch 09/15 | Loss: 0.6597/0.5867 | Shape F1: 0.6211 | Color F1: 0.5786 | Overall F1: 0.5998 | LR: 0.001000 | ★ BEST
2026-08-06 03:31:22,553 - Epoch 10/15 | Loss: 0.6070/0.5779 | Shape F1: 0.5974 | Color F1: 0.6002 | Overall F1: 0.5988 | LR: 0.001000 | 
2026-08-06 03:31:38,539 - Epoch 11/15 | Loss: 0.5262/0.5594 | Shape F1: 0.6550 | Color F1: 0.5914 | Overall F1: 0.6232 | LR: 0.001000 | ★ BEST
2026-08-06 03:31:53,764 - Epoch 12/15 | Loss: 0.5187/0.5357 | Shape F1: 0.6855 | Color F1: 0.6109 | Overall F1: 0.6482 | LR: 0.001000 | ★ BEST
2026-08-06 03:32:09,021 - Epoch 13/15 | Loss: 0.4982/0.5266 | Shape F1: 0.6593 | Color F1: 0.6196 | Overall F1: 0.6395 | LR: 0.001000 | 
2026-08-06 03:32:23,820 - Epoch 14/15 | Loss: 0.5027/0.5673 | Shape F1: 0.5754 | Color F1: 0.5931 | Overall F1: 0.5843 | LR: 0.001000 | 
2026-08-06 03:32:37,801 - Epoch 15/15 | Loss: 0.4699/0.5376 | Shape F1: 0.7271 | Color F1: 0.5858 | Overall F1: 0.6565 | LR: 0.001000 | ★ BEST
2026-08-06 03:35:48,034 - Epoch 01/15 | Loss: 2.2595/1.1112 | Shape F1: 0.5164 | Color F1: 0.4629 | Overall F1: 0.4896 | LR: 0.001000 | ★ BEST
2026-08-06 03:36:02,942 - Epoch 02/15 | Loss: 1.5266/0.9314 | Shape F1: 0.5617 | Color F1: 0.4848 | Overall F1: 0.5233 | LR: 0.001000 | ★ BEST
2026-08-06 03:36:17,718 - Epoch 03/15 | Loss: 1.1155/0.9300 | Shape F1: 0.4989 | Color F1: 0.5123 | Overall F1: 0.5056 | LR: 0.001000 | 
2026-08-06 03:36:32,260 - Epoch 04/15 | Loss: 0.9505/0.7061 | Shape F1: 0.6319 | Color F1: 0.5612 | Overall F1: 0.5965 | LR: 0.001000 | ★ BEST
2026-08-06 03:36:47,036 - Epoch 05/15 | Loss: 0.8279/0.8881 | Shape F1: 0.4939 | Color F1: 0.5411 | Overall F1: 0.5175 | LR: 0.001000 | 
2026-08-06 03:37:01,569 - Epoch 06/15 | Loss: 0.7486/0.7825 | Shape F1: 0.5117 | Color F1: 0.5695 | Overall F1: 0.5406 | LR: 0.001000 | 
2026-08-06 03:37:16,073 - Epoch 07/15 | Loss: 0.7460/0.6672 | Shape F1: 0.5190 | Color F1: 0.5591 | Overall F1: 0.5390 | LR: 0.001000 | 
2026-08-06 03:37:30,670 - Epoch 08/15 | Loss: 0.5991/0.5971 | Shape F1: 0.4942 | Color F1: 0.5904 | Overall F1: 0.5423 | LR: 0.001000 | 
2026-08-06 03:37:45,163 - Epoch 09/15 | Loss: 0.6597/0.5867 | Shape F1: 0.6211 | Color F1: 0.5786 | Overall F1: 0.5998 | LR: 0.001000 | ★ BEST
2026-08-06 03:37:59,736 - Epoch 10/15 | Loss: 0.6070/0.5779 | Shape F1: 0.5974 | Color F1: 0.6002 | Overall F1: 0.5988 | LR: 0.001000 | 
2026-08-06 03:38:14,128 - Epoch 11/15 | Loss: 0.5262/0.5594 | Shape F1: 0.6550 | Color F1: 0.5914 | Overall F1: 0.6232 | LR: 0.001000 | ★ BEST
2026-08-06 03:38:28,551 - Epoch 12/15 | Loss: 0.5187/0.5357 | Shape F1: 0.6855 | Color F1: 0.6109 | Overall F1: 0.6482 | LR: 0.001000 | ★ BEST
2026-08-06 03:38:42,924 - Epoch 13/15 | Loss: 0.4982/0.5266 | Shape F1: 0.6593 | Color F1: 0.6196 | Overall F1: 0.6395 | LR: 0.001000 | 
2026-08-06 03:38:57,042 - Epoch 14/15 | Loss: 0.5027/0.5673 | Shape F1: 0.5754 | Color F1: 0.5931 | Overall F1: 0.5843 | LR: 0.001000 | 
2026-08-06 03:39:11,322 - Epoch 15/15 | Loss: 0.4699/0.5376 | Shape F1: 0.7271 | Color F1: 0.5858 | Overall F1: 0.6565 | LR: 0.001000 | ★ BEST
