epoch,train_loss,val_loss,shape_loss_train,color_loss_train,shape_loss_val,color_loss_val,train_shape_f1,val_shape_f1,train_color_f1,val_color_f1,overall_macro_f1,learning_rate,is_best
1,5.8772,7.4997,4.6692,1.208,2.2817,5.218,0.0577,0.1145,0.284,0.0818,0.0981,0.001,True
2,2.9883,3.7277,2.5118,0.4764,2.2521,1.4756,0.0686,0.0302,0.3896,0.1983,0.1142,0.001,True
3,2.8163,4.4454,2.4286,0.3876,2.1979,2.2475,0.0751,0.1006,0.4311,0.1901,0.1454,0.001,True
4,2.7617,2.3836,2.343,0.4187,1.5643,0.8192,0.1116,0.2629,0.4301,0.2406,0.2518,0.001,True
5,2.4311,2.7189,1.9659,0.4652,1.3207,1.3982,0.1659,0.2853,0.3916,0.2451,0.2652,0.001,True
6,2.3337,2.2597,1.8912,0.4424,1.4682,0.7915,0.1788,0.253,0.4046,0.2714,0.2622,0.001,False
7,2.2203,1.5403,1.7583,0.462,1.0282,0.5121,0.185,0.347,0.3935,0.3985,0.3728,0.001,True
8,1.8438,1.4084,1.4337,0.4101,1.0463,0.362,0.2217,0.3835,0.4146,0.4035,0.3935,0.001,True
9,1.7661,1.9253,1.3702,0.3959,1.0962,0.8291,0.2267,0.3979,0.4223,0.2466,0.3222,0.001,False
10,1.7226,1.473,1.3036,0.419,1.0266,0.4464,0.2538,0.4058,0.4096,0.342,0.3739,0.001,False
11,1.5058,1.3042,1.1344,0.3714,0.8561,0.4482,0.2993,0.5114,0.4424,0.3943,0.4529,0.001,True
12,1.4095,1.915,1.0273,0.3822,1.3572,0.5578,0.3144,0.3388,0.4367,0.3371,0.3379,0.001,False
13,1.5426,1.7036,1.1433,0.3992,1.0544,0.6492,0.2872,0.4243,0.4239,0.3896,0.407,0.001,False
14,1.3966,1.1931,1.0218,0.3747,0.7226,0.4704,0.297,0.5209,0.4433,0.393,0.4569,0.001,True
15,1.4086,1.3222,1.043,0.3656,0.9768,0.3454,0.3009,0.4628,0.453,0.4668,0.4648,0.001,True
16,1.1876,0.9978,0.8322,0.3554,0.7061,0.2917,0.38,0.5851,0.4561,0.5103,0.5477,0.001,True
17,1.1516,1.2091,0.7964,0.3552,0.8645,0.3446,0.3983,0.4026,0.4622,0.4801,0.4413,0.001,False
18,0.9239,1.2116,0.5944,0.3296,0.7128,0.4988,0.4703,0.4897,0.4785,0.3565,0.4231,0.001,False
19,0.7167,1.746,0.3987,0.318,1.2726,0.4734,0.536,0.5105,0.4878,0.4534,0.4819,0.001,False
20,0.9688,1.1473,0.6083,0.3605,0.8804,0.2669,0.4986,0.5895,0.455,0.5049,0.5472,0.001,False
21,0.6113,1.191,0.3135,0.2978,0.9136,0.2774,0.6222,0.4533,0.4977,0.5072,0.4802,0.0005,False
22,0.5587,0.9751,0.2812,0.2776,0.7159,0.2592,0.6687,0.6271,0.5283,0.5422,0.5846,0.0005,True
23,0.5316,1.3339,0.2566,0.275,1.019,0.3149,0.6492,0.5321,0.5292,0.4872,0.5096,0.0005,False
24,0.5358,1.4551,0.255,0.2808,1.1469,0.3082,0.6777,0.5893,0.5194,0.535,0.5622,0.0005,False
25,0.5104,1.0168,0.2423,0.2681,0.7679,0.2489,0.6557,0.6375,0.5404,0.5659,0.6017,0.0005,True
26,0.4272,1.4489,0.1659,0.2613,1.2035,0.2454,0.7805,0.6757,0.549,0.5413,0.6085,0.0005,True
27,0.3873,1.1859,0.1401,0.2473,0.9643,0.2217,0.794,0.6005,0.5545,0.5829,0.5917,0.00025,False
28,0.3149,1.3316,0.0814,0.2336,1.1099,0.2217,0.8716,0.6382,0.5636,0.5885,0.6134,0.00025,True
29,0.4139,1.0978,0.1736,0.2403,0.8259,0.2718,0.7554,0.6123,0.5721,0.5263,0.5693,0.00025,False
30,0.337,1.1988,0.1036,0.2335,0.9783,0.2204,0.857,0.7178,0.5742,0.5788,0.6483,0.00025,True
