epoch,train_loss,shape_loss,color_loss,shape_samples,color_samples,val_loss,val_shape_loss,val_color_loss,val_shape_f1,val_color_f1,val_combined_f1,val_shape_acc,val_color_acc,val_combined_acc,learning_rate,epoch_seconds,best_metric,is_best
1,0.24815337979721983,0.06611182193756579,0.18204155848018097,18640,37312,0.3142,0.1282,0.186,0.9583,0.7326,0.8455,0.9956,0.7032,0.8494,0.0001,220.79,0.8455,True
2,0.10203288143139659,0.013904542356964658,0.08812833912862308,18640,37312,0.2989,0.1044,0.1945,0.9583,0.7932,0.8758,0.9956,0.7568,0.8762,0.0001,220.63,0.8758,True
3,0.05378211449231077,0.0012953123790630542,0.0524868020982726,18640,37312,0.2901,0.0571,0.233,0.943,0.8245,0.8837,0.9934,0.8059,0.8997,0.0001,221.93,0.8837,True
4,0.0334726997617613,0.00022881155271604038,0.03324388817358462,18640,37312,0.3843,0.1008,0.2835,0.9583,0.8264,0.8924,0.9956,0.8265,0.911,0.0001,230.3,0.8924,True
5,0.03532984090719762,0.004572399167614094,0.03075744177248348,18640,37312,0.4465,0.1129,0.3337,0.926,0.7913,0.8587,0.9846,0.8037,0.8941,0.0001,234.59,0.8924,False
6,0.11767505588390151,0.05518951408931148,0.06248554199020255,18640,37312,0.4567,0.2255,0.2312,0.9583,0.8274,0.8929,0.9956,0.8242,0.9099,0.0001,224.41,0.8929,True
7,0.022142397902353218,0.000680676878187272,0.021461720995710424,18640,37312,0.432,0.1581,0.2739,0.9583,0.8385,0.8984,0.9956,0.863,0.9293,0.0001,221.67,0.8984,True
8,0.012545007042583609,0.0001274362916916516,0.012417570774293285,18640,37312,0.4745,0.1417,0.3328,0.9583,0.8658,0.9121,0.9956,0.8779,0.9367,0.0001,222.17,0.9121,True
9,0.011890128936009933,3.536209147688324e-05,0.011854766821129308,18640,37312,0.4989,0.1283,0.3706,0.9583,0.8622,0.9103,0.9956,0.8733,0.9344,0.0001,222.22,0.9121,False
10,0.01914020490574636,0.0025746534480768474,0.016565551518264512,18640,37312,0.5536,0.1908,0.3628,0.948,0.8367,0.8923,0.9912,0.8493,0.9203,0.0001,221.57,0.9121,False
11,0.056878944817773905,0.026580367439797564,0.030298577348811882,18640,37312,0.8312,0.4551,0.376,0.8856,0.8311,0.8584,0.9868,0.8368,0.9118,5e-05,222.72,0.9121,False
12,0.014036166800767516,0.002105906530997467,0.011930260290695261,18640,37312,0.6229,0.2952,0.3276,0.9583,0.8494,0.9039,0.9956,0.8721,0.9339,5e-05,222.34,0.9121,False
13,0.00592665457716659,0.00022547119904205542,0.005701183380182085,18640,37312,0.6252,0.2441,0.3811,0.9583,0.8565,0.9074,0.9956,0.8824,0.939,5e-05,222.31,0.9121,False
14,0.004564245731156881,0.00019572958331633608,0.004368516144272432,18640,37312,0.6457,0.2734,0.3723,0.9583,0.873,0.9157,0.9956,0.8961,0.9459,5e-05,219.85,0.9157,True
15,0.003210189152931504,2.429973848372383e-05,0.00318588941239418,18640,37312,0.6902,0.2815,0.4087,0.9583,0.863,0.9107,0.9956,0.895,0.9453,5e-05,220.02,0.9157,False
16,0.0039900470189858026,0.0001293938664939719,0.0038606531482839263,18640,37312,0.6825,0.2507,0.4318,0.9583,0.8548,0.9066,0.9956,0.8836,0.9396,5e-05,221.81,0.9157,False
17,0.005511201758328649,0.00018273755401599612,0.005328464211417221,18640,37312,0.6397,0.2437,0.3961,0.9583,0.8686,0.9135,0.9956,0.8916,0.9436,2.5e-05,221.0,0.9157,False
18,0.0021827730810116755,2.253984466580785e-05,0.002160233237645245,18640,37312,0.6413,0.2284,0.4129,0.9583,0.8701,0.9142,0.9956,0.8984,0.947,2.5e-05,224.29,0.9157,False
19,0.0012824445732321677,5.4704243875378866e-05,0.001227740326645308,18640,37312,0.7252,0.2703,0.4548,0.9583,0.8643,0.9113,0.9956,0.8984,0.947,2.5e-05,221.14,0.9157,False
20,0.0014012228053634848,1.606468962643241e-05,0.0013851581123406123,18640,37312,0.7149,0.2567,0.4582,0.9583,0.8703,0.9143,0.9956,0.9007,0.9481,1.25e-05,220.89,0.9157,False
