epoch,train_loss,val_loss,shape_loss,color_loss,train_shape_f1,val_shape_f1,train_color_f1,val_color_f1,learning_rate,best_metric,is_best
1,0.8213,0.2087,0.388,0.4333,0.4077,0.6171,0.4838,0.6285,0.0001,0.6228,True
2,0.5191,0.1848,0.2096,0.3095,0.6049,0.8311,0.5567,0.6561,0.0001,0.7436,True
3,0.433,0.1849,0.1612,0.2718,0.6626,0.7391,0.5918,0.6493,0.0001,0.7436,False
4,0.3826,0.1729,0.1356,0.247,0.6917,0.8484,0.6139,0.6672,0.0001,0.7578,True
5,0.3416,0.1748,0.1125,0.2291,0.744,0.8597,0.6351,0.6799,0.0001,0.7578,False
6,0.3209,0.1809,0.103,0.2178,0.7553,0.9319,0.6511,0.6652,0.0001,0.7578,False
7,0.2968,0.1862,0.0916,0.2052,0.7865,0.8316,0.6688,0.6775,0.0001,0.7578,False
8,0.2737,0.1839,0.0807,0.1929,0.8094,0.8557,0.6833,0.6797,5e-05,0.7578,False
9,0.2641,0.1854,0.0766,0.1876,0.8049,0.8557,0.6873,0.6775,5e-05,0.7578,False
10,0.2546,0.1805,0.0729,0.1816,0.8319,0.8557,0.6963,0.6771,5e-05,0.7578,False
11,0.2512,0.1791,0.0722,0.179,0.8404,0.9182,0.6993,0.68,2.5e-05,0.7578,False
12,0.2395,0.1867,0.0657,0.1738,0.8437,0.9182,0.708,0.6735,2.5e-05,0.7578,False
13,0.2369,0.1897,0.0652,0.1717,0.8386,0.8557,0.7105,0.6811,2.5e-05,0.7578,False
14,0.2342,0.1871,0.0651,0.169,0.8436,0.9182,0.713,0.6824,1.25e-05,0.7578,False
15,0.2334,0.1884,0.0643,0.1692,0.8555,0.8557,0.716,0.6823,1.25e-05,0.7578,False
